Serial No,Stock Symbol,Metric1,Metric2,Metric3,...
85,ADV,August-12,Q2-2025,0.11-USD,792.51-M-USD,363.23-M-USD,,,1.29-USD,422.06-M-USD,3.57-B-USD,87.69-M,1.29
86,ADVB,24.67-M-USD,,,,87.39-K-USD,0.00-USD,3.08-M,0.51,40,0.00-USD,2.18-K-USD,Health-Technology
87,ADVM,August-18,Q2-2025,2.08-USD,0.00-USD,46.17-M-USD,,,6.39-USD,130.93-M-USD,1.00-M-USD,13.83-M,0.94
88,AEE,July-31,Q2-2025,1.05-USD,1.83-B-USD,26.64-B-USD,2.98%,21.16,4.52-USD,1.18-B-USD,7.62-B-USD,275.52-M,0.29
89,AEHL,7.88-M-USD,,,42.43-USD,10.54-M-USD,98.77-M-USD,958.82-K,0.30,66,+23-+53.49%,1.50-M-USD,159.76-K-USD
90,AEHR,July-17,Q4-2024,0.02-USD,14.80-M-USD,263.48-M-USD,,11.97,0.79-USD,33.16-M-USD,66.22-M-USD,27.89-M,1.31
91,AEI,10.62-M-USD,,,0.4751-USD,3.97-M-USD,21.12-M-USD,3.30-M,1.91,71,+11-+18.33%,297.41-K-USD,55.86-K-USD
92,AEIS,July-30,Q2-2025,1.31-USD,421.27-M-USD,4.29-B-USD,0.34%,59.91,1.96-USD,54.21-M-USD,1.48-B-USD,37.29-M,1.91
93,AEMD,June-26,Q4-2024,0.14-USD,0.00-USD,6.40-M-USD,,,1.5942-USD,12.21-M-USD,0.00-USD,15.11-M,1.50
94,AENT,October-16,Q4-2025,0.05-USD,241.89-M-USD,146.25-M-USD,,12.59,0.23-USD,4.58-M-USD,1.10-B-USD,3.07-M,1.41
95,AEO,In-5-days,Q1-2025,0.19-USD,1.09-B-USD,1.85-B-USD,4.05%,7.38,1.71-USD,329.38-M-USD,5.33-B-USD,158.95-M,0.82
96,AEON,August-18,Q2-2025,11.52-USD,0.00-USD,6.04-M-USD,,0.0017,298.9901-USD,42.01-M-USD,0.00-USD,10.62-M,1.52
97,AEP,July-24,Q2-2025,1.23-USD,4.98-B-USD,54.96-B-USD,3.61%,19.64,5.19-USD,2.97-B-USD,19.92-B-USD,532.44-M,0.03
98,AER,July-30,Q2-2025,2.81-USD,2.03-B-USD,19.90-B-USD,0.93%,9.98,11.60-USD,2.10-B-USD,7.04-B-USD,171.03-M,0.89
99,AERT,27.65-M-USD,,0.4215,1.6014-USD,15.66-M-USD,72.51-M-USD,10.72-M,0.82,1.7-K,+1.7-K-+169-900.00%,42.65-K-USD,9.21-K-USD
100,AES,July-31,Q2-2025,0.46-USD,3.10-B-USD,7.11-B-USD,6.95%,5.26,1.84-USD,1.69-B-USD,12.28-B-USD,708.34-M,0.79
101,A,In-4-days,Q2-2025,1.26-USD,1.63-B-USD,30.94-B-USD,0.91%,25.21,4.37-USD,1.29-B-USD,6.51-B-USD,283.95-M,0.85
102,AA,July-16,Q2-2025,0.75-USD,2.96-B-USD,7.27-B-USD,1.41%,8.28,3.40-USD,60.00-M-USD,12.18-B-USD,256.77-M,1.86
103,AACB,295.18-M-USD,,,,85.27-K-USD,0.00-USD,23.47-M,0.04,1,0.00-USD,85.27-K-USD,Finance
104,AACT,698.40-M-USD,,31.24,0.36-USD,25.99-M-USD,0.00-USD,46.39-M,0.00,4,0,0.00-USD,6.50-M-USD
105,AAL,July-17,Q2-2025,0.78-USD,14.27-B-USD,7.38-B-USD,,13.16,1.04-USD,846.00-M-USD,54.21-B-USD,649.21-M,0.96
106,AAM,544.40-M-USD,,49.26,0.21-USD,5.86-M-USD,0.00-USD,36.47-M,0.02,2,0.00-USD,2.93-M-USD,Finance
107,AAME,35.08-M-USD,1.18%,,0.09-USD,4.27-M-USD,188.23-M-USD,3.83-M,0.18,156,+1-+0.65%,1.21-M-USD,27.36-K-USD
108,AAMI,July-24,Q2-2025,0.52-USD,117.60-M-USD,1.05-B-USD,0.14%,12.26,2.42-USD,85.00-M-USD,515.30-M-USD,35.13-M,1.24
109,AAOI,July-31,Q2-2025,0.08-USD,104.96-M-USD,993.13-M-USD,,,3.87-USD,186.73-M-USD,249.37-M-USD,51.11-M,3.71
110,AAON,July-31,Q2-2025,0.44-USD,345.94-M-USD,8.06-B-USD,0.40%,52.51,1.95-USD,168.56-M-USD,1.20-B-USD,67.22-M,1.62
111,AAP,August-26,Q1-2025,0.56-USD,1.97-B-USD,2.92-B-USD,3.19%,,5.89-USD,335.79-M-USD,9.09-B-USD,59.00-M,0.53
112,AAPL,July-23,Q3-2025,1.42-USD,88.90-B-USD,2.92-T-USD,0.51%,31.42,6.44-USD,93.74-B-USD,391.04-B-USD,14.92-B,1.08
113,AARD,September-3,Q2-2025,0.65-USD,0.00-USD,227.81-M-USD,,,3.16-USD,20.59-M-USD,0.00-USD,12.39-M,0.95
114,AB,July-24,Q2-2025,0.76-USD,870.88-M-USD,4.33-B-USD,8.33%,10.48,3.71-USD,423.37-M-USD,0.00-USD,104.77-M,0.68
115,ABAT,September-24,Q4-2025,0.08-USD,30.00-M-USD,121.29-M-USD,,,0.85-USD,52.50-M-USD,343.50-K-USD,88.57-M,1.11
116,ABBV,July-25,Q2-2025,3.22-USD,14.95-B-USD,323.71-B-USD,3.59%,77.84,2.35-USD,4.24-B-USD,56.33-B-USD,1.76-B,0.33
117,ABCB,July-24,Q2-2025,1.33-USD,296.90-M-USD,4.22-B-USD,1.30%,11.37,5.41-USD,358.69-M-USD,1.55-B-USD,65.01-M,1.13
118,ABCL,August-12,Q2-2025,0.14-USD,7.20-M-USD,588.01-M-USD,,,0.57-USD,162.86-M-USD,28.83-M-USD,223.95-M,1.22
119,ABEO,August-18,Q2-2025,0.38-USD,0.00-USD,328.43-M-USD,,,0.89-USD,63.73-M-USD,0.00-USD,45.21-M,1.49
120,ABG,July-29,Q2-2025,6.83-USD,4.47-B-USD,4.43-B-USD,,10.78,21.12-USD,430.30-M-USD,17.19-B-USD,19.48-M,1.01
121,ABL,August-18,Q2-2025,0.17-USD,43.45-M-USD,781.19-M-USD,,,0.23-USD,23.96-M-USD,114.26-M-USD,34.11-M,0.66
122,ABLV,55.32-M-USD,,,0.17-USD,7.42-M-USD,128.93-M-USD,10.12-M,0.38,89,9-9.18%,1.45-M-USD,83.36-K-USD
123,ABM,June-4,Q2-2025,0.87-USD,2.07-B-USD,3.18-B-USD,2.06%,40.50,1.28-USD,81.40-M-USD,8.36-B-USD,61.24-M,0.90
124,ABNB,August-6,Q2-2025,0.93-USD,3.03-B-USD,79.38-B-USD,,32.12,4.03-USD,2.65-B-USD,11.10-B-USD,413.54-M,1.29
125,ABOS,August-18,Q2-2025,0.53-USD,0.00-USD,61.78-M-USD,,,1.93-USD,102.33-M-USD,0.00-USD,44.28-M,2.43
126,ABP,September-3,Q2-2025,0.04-USD,,12.89-M-USD,,,0.4247-USD,7.23-M-USD,183.00-K-USD,32.49-M,1.48
127,ABSI,August-19,Q2-2025,0.21-USD,1.39-M-USD,339.31-M-USD,,,0.93-USD,103.11-M-USD,4.53-M-USD,111.47-M,2.54
128,ABT,July-17,Q2-2025,1.25-USD,11.05-B-USD,228.44-B-USD,1.77%,17.06,7.74-USD,13.35-B-USD,41.95-B-USD,1.73-B,0.29
129,ABTS,9.05-M-USD,,,0.38-USD,909.66-K-USD,6.71-M-USD,1.95-M,1.15,11,0,610.11-K-USD,82.70-K-USD
130,ABUS,July-31,Q2-2025,0.04-USD,1.61-M-USD,616.72-M-USD,,,0.40-USD,69.92-M-USD,6.17-M-USD,148.66-M,0.05
131,ABVC,August-19,Q2-2025,,,19.29-M-USD,,,0.14-USD,4.90-M-USD,509.59-K-USD,14.53-M,1.10
132,ABVE,38.23-M-USD,,,,987.94-K-USD,0.00-USD,27.97-M,3.26,2,0,0.00-USD,493.97-K-USD
133,AC,813.82-M-USD,0.54%,20.98,1.80-USD,44.33-M-USD,55.94-M-USD,2.14-M,0.66,24,1-4.00%,2.33-M-USD,1.85-M-USD
134,ACA,July-31,Q2-2025,1.11-USD,760.12-M-USD,4.13-B-USD,0.23%,53.18,1.60-USD,93.40-M-USD,2.57-B-USD,47.87-M,1.44
135,ACAD,July-30,Q2-2025,0.14-USD,263.28-M-USD,3.68-B-USD,,15.69,1.38-USD,226.45-M-USD,957.80-M-USD,166.06-M,1.18
136,ACCO,July-30,Q2-2025,0.29-USD,394.13-M-USD,311.74-M-USD,8.29%,,1.12-USD,101.60-M-USD,1.67-B-USD,86.31-M,1.07
137,ACCS,August-12,Q2-2025,0.09-USD,5.83-M-USD,40.40-M-USD,,,1.37-USD,10.79-M-USD,23.06-M-USD,2.86-M,0.31
138,ACDC,August-7,Q2-2025,0.19-USD,541.55-M-USD,1.04-B-USD,,,1.49-USD,215.10-M-USD,2.19-B-USD,11.14-M,2.16
139,ACEL,July-30,Q2-2025,0.22-USD,328.47-M-USD,949.68-M-USD,,22.61,0.50-USD,35.25-M-USD,1.23-B-USD,50.57-M,0.95
140,ACET,August-6,Q2-2025,0.31-USD,0.00-USD,57.37-M-USD,,,1.2914-USD,117.12-M-USD,0.00-USD,65.38-M,1.83
141,ACGL,July-23,Q2-2025,2.28-USD,4.36-B-USD,34.50-B-USD,,9.43,9.99-USD,4.31-B-USD,16.86-B-USD,361.88-M,0.51
142,ACHC,August-5,Q2-2025,0.71-USD,838.93-M-USD,2.08-B-USD,,12.84,2.05-USD,255.61-M-USD,3.15-B-USD,89.46-M,0.62
143,ACHR,August-7,Q2-2025,0.25-USD,2.67-M-USD,5.81-B-USD,,,1.24-USD,536.80-M-USD,0.00-USD,412.00-M,3.36
144,ACHV,August-7,Q2-2025,0.34-USD,0.00-USD,105.44-M-USD,,,1.34-USD,39.83-M-USD,0.00-USD,29.37-M,2.06
145,ACI,July-29,Q1-2025,0.55-USD,24.68-B-USD,12.72-B-USD,2.72%,13.28,1.65-USD,958.60-M-USD,80.39-B-USD,413.69-M,0.06
146,ACIC,August-6,Q2-2025,0.38-USD,243.22-M-USD,524.63-M-USD,,7.30,1.55-USD,75.72-M-USD,296.66-M-USD,24.11-M,0.52
